"Handle","Title","Max Size","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: custom.colour [list.single_line_text_field]","Metafield: custom.mood [list.single_line_text_field]","Metafield: custom.style [list.single_line_text_field]","Metafield: custom.themes [list.single_line_text_field]","Metafield: custom.shape [list.single_line_text_field]","Metafield: custom.space [list.single_line_text_field]","Metafield: custom.artist_name [multi_line_text_field]","Metafield: custom.artwork_story [multi_line_text_field]","Metafield: custom.exclusivity [single_line_text_field]","Metafield: custom.artist [metaobject_reference]","Print Specification (product.metafields.custom.print_specification)","Variant Image","Variant Weight Unit","Status","Custom Collections","Template Suffix","Included / United Kingdom","Price / United Kingdom","Compare At Price / United Kingdom","Included / Europe USA & ROW","Price / Europe USA & ROW","Compare At Price / Europe USA & ROW","Included / Canada, AU & NZ","Price / Canada, AU & NZ","Compare At Price / Canada, AU & NZ"
"glitch-25915-hazy-delight-aaron-borchardt","Glitch 25.915 Hazy Delight - Aaron Borchardt","30"" x 40""","<p>Glitch 25.915 Hazy Delight by Aaron Borchardt is an entrancing abstract piece that captivates with its vibrant interplay of colours and textures. The artwork features a stunning gradient of pink, orange, and green hues, creating an illusion of movement and depth. The vertical streaks and blurred effects contribute to its dreamy and energetic mood, making it a unique piece that stands out.</p><p>This fine art print serves as a perfect focal point in a contemporary space, adding a touch of modern sophistication. Printed on archival-quality, 200gsm paper, this artwork is sure to retain its luxuriant colours and texture for years to come. Global shipping is available, ensuring this mesmerising piece can be enjoyed anywhere.</p><p>Perfect for adding an element of intrigue to any room, this print beautifully complements minimalist interiors, bringing a burst of colour and a sense of vibrant energy to your space.</p>","Aaron Borchardt","Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork","Posters, Prints, & Visual Artwork","","FALSE","Size","12"" x 16""","","Frame","Unframed","","","","","","10","10","continue","manual","39.00","","true","true","","","","","","Abstract Art Print - Glitch 25.915 Hazy Delight by Aaron Borchardt | East Side Studio London","Shop Glitch 25.915 Hazy Delight by Aaron Borchardt, a Dreamy art print of vibrant gradients in Pink, Green, and Orange. Shop now at East Side Studio London.","[""Pink"",""Green"",""Orange""]","[""Dreamy"",""Energetic""]","[""Abstract"",""Gradient/Colour Field"",""Contemporary""]","[""Fantasy"",""Urban"",""Motivational""]","[""Portrait""]","[""Living Room"",""Kitchen"",""Office"",""Hallway"",""Bedroom"",""Dining Room"",""Bathroom""]","Aaron Borchardt","","Exclusive to East Side Studio London","artists.aaron-borchardt","","","g","draft","New Releases, All Prints","main-product-template","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 16""","","","Black Frame","","","","","","200","10","continue","manual","92.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 16""","","","White Frame","","","","","","200","10","continue","manual","92.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 16""","","","Natural Frame","","","","","","200","10","continue","manual","92.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 18""","","","Unframed","","","","","","10","10","continue","manual","39.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 18""","","","Black Frame","","","","","","200","10","continue","manual","95.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 18""","","","White Frame","","","","","","200","10","continue","manual","95.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","12"" x 18""","","","Natural Frame","","","","","","200","10","continue","manual","95.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","18"" x 24""","","","Unframed","","","","","","10","10","continue","manual","75.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
"glitch-25915-hazy-delight-aaron-borchardt","","","","","","","","","","18"" x 24""","","","Black Frame","","","","","","200","10","continue","manual","165.00","","true","true","","","","","","","","","","","","","","","","","","","","g","","","","TRUE","","","TRUE","","","TRUE","",""
